Mobile,Message,Sender,Campaign name,Location,Provider,Send Time,Delivered Time,Status,Click Status,Click DateTime,Browser,Platform,IP Address,Click Count
9711010023,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, DELHI,ETISALAT,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010024,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010025,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MADHYA PRADESH & CHHATISGARH ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,66.249.88.135,1
9711010026,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (W) & UTTARAKHAND  ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010027,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MAHARASHTRA  ,RELIANCE,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010028,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, RAJASTHAN ,AIRCEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,74.125.214.5,1
9711010029,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, BIHAR & JHARKHAND ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010030,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MUMBAI   ,LOOP MOBILE,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010031,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, DELHI,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,64.233.172.73,1
9711010032,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, KARNATAKA ,AIRTEL,19-11-2022 09:29,20-11-2022 02:11,Delivered,No,,,,,
9711010033,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, RAJASTHAN ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010034,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MADHYA PRADESH & CHHATISGARH ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,66.249.93.226,1
9711010035,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010036,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, BIHAR & JHARKHAND ,UNINOR,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010037,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ASSAM ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,74.125.214.5,1
9711010038,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MUMBAI   ,RELIANCE,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010039,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, BIHAR & JHARKHAND ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010040,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MADHYA PRADESH & CHHATISGARH ,ETISALAT,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,74.125.214.7,2
9711010041,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MADHYA PRADESH & CHHATISGARH ,TATA DOCOMO,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010042,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, KARNATAKA ,TATA DOCOMO,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010043,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ASSAM ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,66.249.88.138,2
9711010044,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (W) & UTTARAKHAND  ,RELIANCE,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010045,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010046,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ORISSA ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,64.233.172.69,3
9711010047,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 22:00,Delivered,No,,,,,
9711010048,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010049,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,66.249.93.226,2
9711010050,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010051,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, RAJASTHAN ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010052,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, BIHAR & JHARKHAND ,TATA DOCOMO,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,20-11-2022 02:32,Chrome,Linux,74.125.214.7,1
9711010053,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, RAJASTHAN ,VODAFONE,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010054,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (E) ,VODAFONE,19-11-2022 09:29,20-11-2022 02:39,Failed,,,,,,
9711010055,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MAHARASHTRA  ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,64.233.172.69,2
9711010056,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (E) ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010057,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MADHYA PRADESH & CHHATISGARH ,VIDEOCON TELECOM,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010058,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MUMBAI   ,LOOP MOBILE,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,74.125.214.9,1
9711010059,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MADHYA PRADESH & CHHATISGARH ,RELIANCE,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010060,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ORISSA ,VODAFONE,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010061,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, NORTH EAST  ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,74.125.214.5,2
9711010062,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010063,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, GUJARAT  ,RELIANCE,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010064,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,74.125.214.5,1
9711010065,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (W) & UTTARAKHAND  ,TATA DOCOMO,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010066,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (E) ,IDEA,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010067,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (E) ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,64.233.172.69,1
9711010068,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, KARNATAKA ,TATA DOCOMO,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010069,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, DELHI,TATA DOCOMO,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010070,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ANDHRA PRADESH ,TATA DOCOMO,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:44,Chrome,Linux,64.233.172.73,2
9711010071,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, PUNJAB  ,RELIANCE,19-11-2022 09:29,19-11-2022 09:40,Delivered,No,,,,,
9711010072,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010073,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,66.102.9.232,1
9711010074,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MAHARASHTRA  ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010075,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (W) & UTTARAKHAND  ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010076,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, HARYANA  ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,66.249.93.232,1
9711010077,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010078,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MADHYA PRADESH & CHHATISGARH ,IDEA,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010079,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ANDHRA PRADESH ,TATA DOCOMO,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,66.249.93.226,1
9711010080,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 22:29,Delivered,No,,,,,
9711010081,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, PUNJAB  ,IDEA,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010082,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, RAJASTHAN ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,66.249.83.101,1
9711010083,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ANDHRA PRADESH ,AIRTEL,19-11-2022 09:29,19-11-2022 09:44,Delivered,No,,,,,
9711010084,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, CHENNAI   ,BSNL,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010085,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, HIMACHAL PRADESH ,STEL,19-11-2022 09:28,19-11-2022 09:28,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,64.233.172.73,1
9711010086,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MAHARASHTRA  ,TATA DOCOMO,19-11-2022 09:28,19-11-2022 09:29,Delivered,No,,,,,
9711010087,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:28,19-11-2022 09:29,,,,,,,
9711010088,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:28,19-11-2022 09:28,Delivered,Yes,19-11-2022 21:28,Chrome,Linux,66.249.83.103,1
9711010089,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MUMBAI   ,RELIANCE,19-11-2022 09:28,19-11-2022 09:28,Delivered,No,,,,,
9711010090,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:28,19-11-2022 09:28,Failed,,,,,,
9711010091,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (E) ,LOOP MOBILE,19-11-2022 09:28,19-11-2022 09:28,Delivered,Yes,19-11-2022 21:28,Chrome,Linux,64.233.172.69,1
9711010092,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MUMBAI   ,VODAFONE,19-11-2022 09:28,19-11-2022 09:44,Delivered,No,,,,,
9711010093,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, DELHI,AIRTEL,19-11-2022 09:28,19-11-2022 09:28,,,,,,,
9711010094,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, TAMILNADU  ,RELIANCE,19-11-2022 09:28,19-11-2022 09:28,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,74.125.214.7,3
9711010095,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ORISSA ,AIRTEL,19-11-2022 09:28,19-11-2022 09:28,Delivered,No,,,,,
9711010096,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:28,19-11-2022 09:28,Failed,,,,,,
9711010097,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (E) ,UNINOR,19-11-2022 09:28,19-11-2022 09:28,Delivered,Yes,19-11-2022 21:28,Chrome,Linux,66.249.83.103,1
9711010098,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ANDHRA PRADESH ,VODAFONE,19-11-2022 09:28,19-11-2022 09:28,Delivered,No,,,,,
